prNumber	classification	reasonClass
2184	OUT_OF_LINE	NIGHTLY_AUTOMATION
2220	OUT_OF_LINE	NIGHTLY_AUTOMATION
2249	OUT_OF_LINE	NIGHTLY_AUTOMATION
2300	OUT_OF_LINE	NIGHTLY_AUTOMATION
2331	OUT_OF_LINE	NIGHTLY_AUTOMATION
2364	OUT_OF_LINE	NIGHTLY_AUTOMATION
2377	OUT_OF_LINE	NIGHTLY_AUTOMATION
2404	OUT_OF_LINE	NIGHTLY_AUTOMATION
2431	OUT_OF_LINE	NIGHTLY_AUTOMATION
2472	OUT_OF_LINE	NIGHTLY_AUTOMATION
2526	OUT_OF_LINE	NIGHTLY_AUTOMATION
2567	OUT_OF_LINE	NIGHTLY_AUTOMATION
2583	OUT_OF_LINE	NIGHTLY_AUTOMATION
2612	OUT_OF_LINE	NIGHTLY_AUTOMATION
2690	OUT_OF_LINE	NIGHTLY_AUTOMATION
2706	OUT_OF_LINE	APPROVAL_LINE
2766	OUT_OF_LINE	NIGHTLY_AUTOMATION
2824	OUT_OF_LINE	NIGHTLY_AUTOMATION
2899	OUT_OF_LINE	NIGHTLY_AUTOMATION
2960	OUT_OF_LINE	NIGHTLY_AUTOMATION
2977	OUT_OF_LINE	NIGHTLY_AUTOMATION
3028	OUT_OF_LINE	NIGHTLY_AUTOMATION
3079	OUT_OF_LINE	NIGHTLY_AUTOMATION
3117	OUT_OF_LINE	NIGHTLY_AUTOMATION
3174	OUT_OF_LINE	NIGHTLY_AUTOMATION
3236	OUT_OF_LINE	NIGHTLY_AUTOMATION
3285	OUT_OF_LINE	NIGHTLY_AUTOMATION
3319	OUT_OF_LINE	NIGHTLY_AUTOMATION
3360	OUT_OF_LINE	NIGHTLY_AUTOMATION
3393	OUT_OF_LINE	NIGHTLY_AUTOMATION
3433	OUT_OF_LINE	NIGHTLY_AUTOMATION
3472	OUT_OF_LINE	NIGHTLY_AUTOMATION
3507	OUT_OF_LINE	NIGHTLY_AUTOMATION
3550	OUT_OF_LINE	NIGHTLY_AUTOMATION
3604	OUT_OF_LINE	NIGHTLY_AUTOMATION
3680	OUT_OF_LINE	NIGHTLY_AUTOMATION
3752	OUT_OF_LINE	NIGHTLY_AUTOMATION
3805	OUT_OF_LINE	MULTITABLE_LINE
3865	OUT_OF_LINE	NIGHTLY_AUTOMATION
4005	OUT_OF_LINE	APPROVAL_LINE
4091	OUT_OF_LINE	NIGHTLY_AUTOMATION
4132	OUT_OF_LINE	NIGHTLY_AUTOMATION
4141	OUT_OF_LINE	TEST_INFRA_OTHER
4149	OUT_OF_LINE	TEST_INFRA_OTHER
4164	OUT_OF_LINE	DOCS_OTHER_LINE
4186	OUT_OF_LINE	MULTITABLE_LINE
4200	OUT_OF_LINE	DOCS_OTHER_LINE
4204	OUT_OF_LINE	MULTITABLE_LINE
4205	OUT_OF_LINE	MULTITABLE_LINE
4209	OUT_OF_LINE	NIGHTLY_AUTOMATION
4214	OUT_OF_LINE	MULTITABLE_LINE
4216	OUT_OF_LINE	MULTITABLE_LINE
4219	OUT_OF_LINE	MULTITABLE_LINE
4224	OUT_OF_LINE	MULTITABLE_LINE
4229	OUT_OF_LINE	MULTITABLE_LINE
4230	OUT_OF_LINE	MULTITABLE_LINE
4252	OUT_OF_LINE	MULTITABLE_LINE
4257	OUT_OF_LINE	CI_INFRA_OTHER
4260	OUT_OF_LINE	OTHER_LINE
4273	OUT_OF_LINE	MULTITABLE_LINE
4274	OUT_OF_LINE	MULTITABLE_LINE
4302	OUT_OF_LINE	NIGHTLY_AUTOMATION
4309	OUT_OF_LINE	MULTITABLE_LINE
4332	OUT_OF_LINE	MULTITABLE_LINE
4333	OUT_OF_LINE	DOCS_OTHER_LINE
4342	OUT_OF_LINE	APPROVAL_LINE
4361	OUT_OF_LINE	NIGHTLY_AUTOMATION
4394	OUT_OF_LINE	CI_INFRA_OTHER
4395	OUT_OF_LINE	CI_INFRA_OTHER
4399	OUT_OF_LINE	OTHER_LINE
4403	OUT_OF_LINE	MULTITABLE_LINE
4404	OUT_OF_LINE	MULTITABLE_LINE
4408	OUT_OF_LINE	MULTITABLE_LINE
4417	OUT_OF_LINE	OTHER_LINE
4421	OUT_OF_LINE	NIGHTLY_AUTOMATION
4427	OUT_OF_LINE	OTHER_LINE
4433	OUT_OF_LINE	APPROVAL_LINE
4435	OUT_OF_LINE	MULTITABLE_LINE
